================================================================================
WebSocket Connection Log
Connection ID: keep_alive_869cb4a775e4
Connection Type: keep_alive
User: ATIVOS Client 1
Created: 2026-03-05T20:41:16.865135
Log File: ATIVOS_Client_1_keep_alive_keep_alive_869cb4a775e4_20260305_204116.log
================================================================================

[2026-03-05T20:41:16.868908] [INIT] Iniciando estabelecimento de conexão
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "is_demo": true, "user_name": "ATIVOS Client 1", "urls_available": 2}
[2026-03-05T20:41:17.870485] [CONNECTED] Conexão estabelecida em DEMO-EU
[2026-03-05T20:41:24.211179] [RECV] Mensagem recebida (38 bytes): [["AUDNZD_otc",1772761284.071,1.1009]]
[2026-03-05T20:41:24.212741] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.213254] [RECV] Mensagem recebida (38 bytes): [["CADJPY_otc",1772761284.071,113.18]]
[2026-03-05T20:41:24.214282] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.214282] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772761284.072,1.17382]]
[2026-03-05T20:41:24.215808] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.215808] [RECV] Mensagem recebida (39 bytes): [["NZDUSD_otc",1772761284.072,0.58828]]
[2026-03-05T20:41:24.216834] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.216834] [RECV] Mensagem recebida (39 bytes): [["USDCAD_otc",1772761284.072,1.38179]]
[2026-03-05T20:41:24.218813] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.218813] [RECV] Mensagem recebida (39 bytes): [["USDCHF_otc",1772761284.072,0.81312]]
[2026-03-05T20:41:24.219811] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.220808] [RECV] Mensagem recebida (39 bytes): [["USDJPY_otc",1772761284.072,158.041]]
[2026-03-05T20:41:24.221805] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.221805] [RECV] Mensagem recebida (40 bytes): [["EURRUB_otc",1772761284.073,85.29154]]
[2026-03-05T20:41:24.681874] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.691792] [RECV] Mensagem recebida (39 bytes): [["AUDCAD_otc",1772761284.572,0.91365]]
[2026-03-05T20:41:24.694172] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.774370] [RECV] Mensagem recebida (37 bytes): [["AUDNZD_otc",1772761284.572,1.101]]
[2026-03-05T20:41:24.776625] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.776625] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772761284.572,113.183]]
[2026-03-05T20:41:24.778541] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.778541] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772761284.574,1.17376]]
[2026-03-05T20:41:24.779048] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.780043] [RECV] Mensagem recebida (38 bytes): [["NZDUSD_otc",1772761284.574,0.5883]]
[2026-03-05T20:41:24.781041] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.781041] [RECV] Mensagem recebida (38 bytes): [["USDCAD_otc",1772761284.574,1.3818]]
[2026-03-05T20:41:24.781744] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.781744] [RECV] Mensagem recebida (39 bytes): [["USDCHF_otc",1772761284.574,0.81309]]
[2026-03-05T20:41:24.782729] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.783749] [RECV] Mensagem recebida (38 bytes): [["USDJPY_otc",1772761284.574,158.04]]
[2026-03-05T20:41:24.784797] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
